FID,GEOID20,SDLEA,NAME,DISTRICT_N,DISTRICT_C,Superintendent Salary,Average Teacher Salary,Average Principal Salary,Enrollment,Teacher Compensation Spending,Non-Teacher Compensation Spending,Capital Outlay & Debt Service Spending,Other Operating Expenses Spending,Recapture,Total Spending,Per-Pupil Spending,Teacher Compensation Percentage,Non-Teacher Compensation Percentage,Capital Outlay & Debt Service Percentage,Other Operating Expenses Percentage,Recapture,Distrit Debt,Per-Pupil Debt,DISTRICT_GRADE,DISTRICT_SCORE,Not On Grade Level Reading,Not On Grade Level Math,Not On Grade Level SS,Not On Grade Level Science
1,4838490,38490,Sabine Pass ISD,123913,123913,177731,57142,86000,372,3059576,2707882,21679987,3974507,3241190,34663142,87770.82,8.80%,7.80%,62.50%,11.50%,9.40%,103789938,333730,B,86,23%,53%,27%,34%
2,4811040,11040,Boys Ranch ISD,180901,180901,122800,59824,100440,148,3454049,1786749,0,1131115,0,6371913,41646.49,54.20%,28.00%,0.00%,17.80%,0.00%,0,0,Not Rated,0,41%,57%,33%,36%
3,4821300,21300,Grady ISD,156905,156905,138000,77068,120075,241,2308170,1595975,1451176,2187030,58889468,66431819,30169.4,3.50%,2.40%,2.20%,3.30%,88.60%,0,0,A,96,17%,38%,49%,34%
4,4845420,45420,Wheeler ISD,242903,242903,109000,55358,79000,372,2879494,1051967,331900,1825722,0,6089083,15774.83,47.30%,17.30%,5.50%,30.00%,0.00%,4529900,13017,B,85,40%,53%,60%,68%
5,4821560,21560,Grandview-Hopkins ISD,90905,90905,90000,60521,90000,49,622632,260271,50533,604028,47470,1584934,30749.28,39.30%,16.40%,3.20%,38.10%,3.00%,0,0,C,79,30%,57%,.,101%
6,4846350,46350,Wolfe City ISD,116909,116909,122000,58607,83985,713,5020363,2441667,627627,3378999,0,11468656,15928.69,43.80%,21.30%,5.50%,29.50%,0.00%,7301948,11535,B,81,43%,49%,49%,53%
7,4838640,38640,Sam Rayburn ISD,74917,74917,130000,60073,90176,469,4534846,1779856,1835678,2295569,0,10445949,21582.54,43.40%,17.00%,17.60%,22.00%,0.00%,4334291,12823,A,90,32%,46%,58%,35%
8,4834440,34440,Pearland ISD,20908,20908,280000,68836,119415,20862,112972710,68477985,48822192,52478162,0,282751049,13393.54,40.00%,24.20%,17.30%,18.60%,0.00%,526941944,27481,A,91,27%,37%,32%,34%
9,4816410,16410,Dayton ISD,146902,146902,208000,62761,96827,5675,30622255,19754584,11397140,18279711,0,80053690,13833.37,38.30%,24.70%,14.20%,22.80%,0.00%,92936388,18287,C,73,56%,68%,59%,66%
10,4839990,39990,Sheldon ISD,101924,101924,260000,70488,111817,10946,76952759,35859951,69087054,33203060,0,215102824,19505.15,35.80%,16.70%,32.10%,15.40%,0.00%,644407500,62998,C,77,60%,71%,59%,74%
11,4823190,23190,Highland ISD,177905,177905,130000,57789,85100,207,1825427,1145784,852266,2610043,437256,6870776,28979.82,26.60%,16.70%,12.40%,38.00%,6.40%,5848500,32492,A,97,25%,20%,27%,23%
12,4809690,9690,Beckville ISD,183901,183901,144392,52754,82356,684,4412621,2293867,9276886,2709376,0,18692750,26703.93,23.60%,12.30%,49.60%,14.50%,0.00%,22011250,32755,B,88,43%,53%,38%,34%
13,4842240,42240,Tatum ISD,201910,201910,206268,64692,88629,1392,9483916,6215626,1828639,4767584,0,22295765,16121.31,42.50%,27.90%,8.20%,21.40%,0.00%,11293675,10267,B,85,42%,53%,45%,56%
14,4807710,7710,Aldine ISD,101902,101902,352821,68384,110360,56419,387853622,264696539,161430389,209363150,0,1023343700,17691.44,37.90%,25.90%,15.80%,20.50%,0.00%,1984293497,43505,C,73,66%,73%,65%,73%
15,4813590,13590,Channelview ISD,101905,101905,274431,70485,117345,9335,70003383,37008306,41657412,32532525,0,181201626,19207.3,38.60%,20.40%,23.00%,18.00%,0.00%,343819365,41986,B,80,59%,68%,68%,69%
16,4823910,23910,Humble ISD,101913,101913,348919,67864,110544,48502,313442129,169768615,225283851,107420593,0,815915188,16804.98,38.40%,20.80%,27.60%,13.20%,0.00%,1792882615,41754,C,77,46%,59%,45%,56%
17,4834320,34320,Pasadena ISD,101917,101917,367812,67505,127890,46491,363819341,194968663,153547115,125613065,0,837948184,17646.22,43.40%,23.30%,18.30%,15.00%,0.00%,1369447833,35062,B,84,53%,60%,53%,61%
18,4808160,8160,Amherst ISD,140901,140901,147346,43534,101406,102,1208162,632918,520662,681398,0,3043140,26694.21,39.70%,20.80%,17.10%,22.40%,0.00%,0,0,C,76,74%,93%,84%,89%
19,4827240,27240,Levelland ISD,110902,110902,191827,52954,94207,2575,18737204,9991738,6489263,11019990,0,46238195,17668.4,40.50%,21.60%,14.00%,23.80%,0.00%,45177025,21575,C,74,56%,65%,57%,58%
20,4828170,28170,Loraine ISD,168902,168902,114357,49221,82400,141,1350987,866531,759642,1047497,0,4024657,30260.58,33.60%,21.50%,18.90%,26.00%,0.00%,5743550,54700,D,67,65%,61%,73%,81%
21,4813380,13380,Centerville ISD (Trinity),228904,228904,118450,56151,85538,145,1193506,624797,248795,717780,0,2784878,17966.95,42.90%,22.40%,8.90%,25.80%,0.00%,0,0,B,83,45%,54%,46%,50%
22,4841010,41010,Spearman ISD,98904,98904,135000,49315,85227,692,5067806,3305894,1306850,2565678,0,12246228,16914.68,41.40%,27.00%,10.70%,21.00%,0.00%,8564855,15432,B,86,37%,45%,39%,44%
23,4842540,42540,Texhoma ISD,211901,211901,96700,41333,63012,142,689828,488072,240534,622357,0,2040791,12675.72,33.80%,23.90%,11.80%,30.50%,0.00%,0,0,B,89,23%,33%,.,.
24,4835820,35820,Priddy ISD,167904,167904,113000,53654,77283,119,984957,556915,1311881,1125244,0,3978997,33720.31,24.80%,14.00%,33.00%,28.30%,0.00%,2520100,24707,D,66,43%,40%,43%,50%
25,4812810,12810,Canyon ISD,191901,191901,262388,60143,94714,11565,61158012,32079500,27485733,25886928,0,146610173,12885.41,41.70%,21.90%,18.70%,17.70%,0.00%,285249923,25756,B,88,38%,43%,45%,46%
26,4813680,13680,Chapel Hill ISD (Titus),225906,225906,132249,54864,81914,928,6754552,3540558,710054,4225564,0,15230728,15573.34,44.30%,23.20%,4.70%,27.70%,0.00%,1449844,2132,B,83,31%,47%,39%,50%
27,4841970,41970,Sweeny ISD,20906,20906,173156,65485,97180,1919,13179636,9039671,5834831,9844411,83086,37981635,19606.08,34.70%,23.80%,15.40%,25.90%,0.20%,113443117,62400,C,76,56%,64%,51%,57%
28,4815360,15360,Cotton Center ISD,95902,95902,104000,46948,73088,100,1066468,663475,4,1117184,0,2847131,27115.53,37.50%,23.30%,0.00%,39.20%,0.00%,0,0,A,91,49%,58%,79%,87%
29,4822050,22050,Hale Center ISD,95903,95903,130000,50444,86780,561,3671400,2310073,1877248,3246089,0,11104810,18950.19,33.10%,20.80%,16.90%,29.20%,0.00%,7159838,15332,B,83,62%,67%,72%,75%
