District,LEA Name,2024,2023,2022,2018
1902,CAYUGA ISD,589,594,576,576
1903,ELKHART ISD,1197,1194,1150,1234
1904,FRANKSTON ISD,802,802,808,873
1906,NECHES ISD,326,310,343,360
1907,PALESTINE ISD,3247,3297,3361,3415
1908,WESTWOOD ISD,1365,1414,1332,1561
1909,SLOCUM ISD,332,349,361,423
2901,ANDREWS ISD,4269,4198,4147,4066
3801,PINEYWOODS COMMUNITY ACADEMY,1022,997,995,1020
3902,HUDSON ISD,2741,2768,2802,2892
3903,LUFKIN ISD,7046,7164,7360,7992
3904,HUNTINGTON ISD,1590,1593,1615,1719
3905,DIBOLL ISD,1627,1669,1749,1898
3906,ZAVALLA ISD,320,323,301,368
3907,CENTRAL ISD,1525,1463,1455,1523
4901,ROCKPORT-FULTON ISD,2968,3044,3005,2547
5901,ARCHER CITY ISD,501,493,508,474
5902,HOLLIDAY ISD,1132,1137,1128,1007
5904,WINDTHORST ISD,516,527,530,428
6902,CLAUDE ISD,319,328,307,372
7901,CHARLOTTE ISD,444,433,397,494
7902,JOURDANTON ISD,1588,1590,1570,1622
7904,LYTLE ISD,1821,1810,1743,1698
7905,PLEASANTON ISD,3364,3384,3384,3588
7906,POTEET ISD,1842,1837,1680,1736
8901,BELLVILLE ISD,2283,2251,2198,2261
8902,SEALY ISD,3002,2908,2827,2832
8903,BRAZOS ISD,859,851,768,807
9901,MULESHOE ISD,1321,1347,1348,1441
10901,MEDINA ISD,239,246,267,322
10902,BANDERA ISD,2338,2381,2304,2283
11901,BASTROP ISD,13010,12506,11994,10899
11902,ELGIN ISD,5715,5404,4996,4321
11904,SMITHVILLE ISD,1834,1885,1788,1788
11905,MCDADE ISD,360,356,319,325
12901,SEYMOUR ISD,633,644,620,579
13801,ST MARY'S ACADEMY CHARTER SCHOOL,299,381,401,457
13901,BEEVILLE ISD,3101,3097,3010,3315
13902,PAWNEE ISD,577,465,498,300
13903,PETTUS ISD,394,401,379,429
13905,SKIDMORE-TYNAN ISD,794,752,786,837
14801,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),1450,1693,1591,2224
14803,PRIORITY CHARTER SCHOOLS,486,751,836,960
14804,ORENDA CHARTER SCHOOL,1923,1878,1907,1659
14901,ACADEMY ISD,1814,1835,1759,1559
14902,BARTLETT ISD,439,461,395,342
14903,BELTON ISD,13808,13644,13326,11529
14905,HOLLAND ISD,638,634,657,668
14906,KILLEEN ISD,43864,43935,43882,44294
14907,ROGERS ISD,875,880,896,895
14908,SALADO ISD,2346,2336,2242,1863
14909,TEMPLE ISD,8784,8615,8445,8631
14910,TROY ISD,1706,1690,1637,1534
15801,POR VIDA ACADEMY,205,135,124,271
15802,GEORGE GERVIN ACADEMY,879,689,776,1358
15805,NEW FRONTIERS PUBLIC SCHOOLS INC,317,171,149,706
15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,1754,931,353,667
15807,SOUTHWEST PREPARATORY SCHOOL,792,787,795,879
15808,INSPIRE ACADEMIES,811,735,636,867
15809,BEXAR COUNTY ACADEMY,198,238,261,374
15814,POSITIVE SOLUTIONS CHARTER SCHOOL,81,101,93,125
15815,HERITAGE ACADEMY,574,542,572,508
15822,JUBILEE ACADEMIES,6017,6192,5764,5650
15825,LIGHTHOUSE PUBLIC SCHOOLS,382,422,409,302
15827,SCHOOL OF SCIENCE AND TECHNOLOGY,5053,4315,3972,1583
15828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,4855,4826,4466,4328
15830,SOMERSET ACADEMIES OF TEXAS,2817,3097,3141,2898
15831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,5967,5644,5288,1676
15833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,75,75,93,137
15834,BASIS TEXAS,6266,4972,3421,2452
15835,GREAT HEARTS TEXAS,12019,9970,8136,2766
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,500,478,489,319
15838,COMPASS ROSE PUBLIC SCHOOLS,3600,2702,1836,90
15839,PROMESA ACADEMY CHARTER SCHOOL,421,313,262,.
15840,SAN ANTONIO STEAM ACADEMY,139,156,205,.
15841,THE GATHERING PLACE,618,628,465,.
15842,ROYAL PUBLIC SCHOOLS,345,192,111,.
15843,PRELUDE PREPARATORY CHARTER SCHOOL,138,98,30,.
15844,ESSENCE PREPARATORY CHARTER SCHOOL,180,103,.,.
15901,ALAMO HEIGHTS ISD,4698,4762,4824,4810
15904,HARLANDALE ISD,11814,12174,12080,14381
15905,EDGEWOOD ISD,7930,8177,8393,10471
15906,RANDOLPH FIELD ISD,1494,1462,1460,1450
15907,SAN ANTONIO ISD,44670,45255,44710,50683
15908,SOUTH SAN ANTONIO ISD,7429,7872,7922,9103
15909,SOMERSET ISD,4252,4147,3958,4169
15910,NORTH EAST ISD,57374,59007,59830,66101
15911,EAST CENTRAL ISD,11176,10617,10006,10215
15912,SOUTHWEST ISD,14202,13747,13277,13873
15913,LACKLAND ISD,1035,968,911,1053
15914,FT SAM HOUSTON ISD,1611,1627,1639,1612
15915,NORTHSIDE ISD,101095,102719,102377,106700
15916,JUDSON ISD,23848,25871,24536,23118
15917,SOUTHSIDE ISD,6033,5965,5520,5654
16901,JOHNSON CITY ISD,718,722,697,659
