DISTRICT_N,District_Name,Year,Object_Code,Object_Description_Long,Object_Spending
STATEWIDE,Texas Statewide,2018,6112,SUBSTITUTE PAY,"$452,010,928.00"
STATEWIDE,Texas Statewide,2018,6119,TEACHER PAY & OTHER PROFESSIONALS,"$26,039,538,173.00"
STATEWIDE,Texas Statewide,2018,6121,EXTRA DUTY PAY / OVERTIME - SUPPORT PERSONNEL,"$292,167,723.00"
STATEWIDE,Texas Statewide,2018,6122,SALARIES/WAGES FOR SUBSTITUTE SUPPORT PERSONNEL,"$54,542,898.00"
STATEWIDE,Texas Statewide,2018,6129,SALARIES OR WAGES FOR SUPPORT PERSONNEL,"$6,507,529,048.00"
STATEWIDE,Texas Statewide,2018,6131,CONTRACT BUYOUTS,"$3,178,345.00"
STATEWIDE,Texas Statewide,2018,6139,EMPLOYEE ALLOWANCES,"$47,843,955.00"
STATEWIDE,Texas Statewide,2018,6141,SOCIAL SECURITY/MEDICARE,"$536,405,820.00"
STATEWIDE,Texas Statewide,2018,6142,GROUP HEALTH & LIFE INSURANCE,"$2,307,860,851.00"
STATEWIDE,Texas Statewide,2018,6143,WORKERS' COMPENSATION,"$185,418,384.00"
STATEWIDE,Texas Statewide,2018,6144,TEACHER RETIREMENT/TRS CARE - ON-BEHALF PAYMENTS,"$2,069,028,942.00"
STATEWIDE,Texas Statewide,2018,6145,UNEMPLOYMENT COMPENSATION,"$22,102,553.00"
STATEWIDE,Texas Statewide,2018,6146,TEACHER RETIREMENT/TRS CARE,"$1,200,824,731.00"
STATEWIDE,Texas Statewide,2018,6149,EMPLOYEE BENEFITS,"$108,701,564.00"
STATEWIDE,Texas Statewide,2018,6211,LEGAL SERVICES,"$79,490,088.00"
STATEWIDE,Texas Statewide,2018,6212,AUDIT SERVICES,"$30,672,113.00"
STATEWIDE,Texas Statewide,2018,6213,TAX APPRAISAL AND COLLECTION,"$301,107,307.00"
STATEWIDE,Texas Statewide,2018,6214,LOBBYING,"$12,993,089.00"
STATEWIDE,Texas Statewide,2018,6219,PROFESSIONAL SERVICES,"$499,358,322.00"
STATEWIDE,Texas Statewide,2018,6221,STAFF TUITION AND RELATED FEES - HIGHER EDUCATION,"$3,920,271.00"
STATEWIDE,Texas Statewide,2018,6222,STUDENT TUITION-PUBLIC SCHOOLS,"$11,972,242.00"
STATEWIDE,Texas Statewide,2018,6223,STUDENT TUITION-OTHER THAN TO PUBLIC SCHOOLS,"$62,251,969.00"
STATEWIDE,Texas Statewide,2018,6229,TUITION AND TRANSFER PAYMENTS,"$37,521,718.00"
STATEWIDE,Texas Statewide,2018,6239,EDUCATION SERVICE CENTER SERVICES,"$114,761,591.00"
STATEWIDE,Texas Statewide,2018,6249,CONTRACTED MAINTENANCE AND REPAIR,"$1,064,683,258.00"
STATEWIDE,Texas Statewide,2018,6259,UTILITIES,"$1,345,569,472.00"
STATEWIDE,Texas Statewide,2018,6269,RENTALS - OPERATING LEASES,"$220,434,791.00"
STATEWIDE,Texas Statewide,2018,6291,CONSULTING SERVICES,"$75,151,122.00"
STATEWIDE,Texas Statewide,2018,6299,MISCELLANEOUS CONTRACTED SERVICES,"$1,487,732,515.00"
STATEWIDE,Texas Statewide,2018,6311,GAS AND OTHER FUELS FOR VEHICLES (INCLUDING BUSES),"$153,659,509.00"
STATEWIDE,Texas Statewide,2018,6319,SUPPLIES FOR MAINTENANCE AND/OR OPERATIONS,"$419,320,614.00"
STATEWIDE,Texas Statewide,2018,6321,INSTRUCTIONAL MATERIALS,"$246,111,968.00"
STATEWIDE,Texas Statewide,2018,6329,READING MATERIALS,"$144,103,896.00"
