DISTRICT_N,District_Name,Year,Total_Spending
STATEWIDE,Statewide,2018,52000000000
STATEWIDE,Statewide,2019,53500000000
STATEWIDE,Statewide,2020,54800000000
STATEWIDE,Statewide,2021,56200000000
STATEWIDE,Statewide,2022,57900000000
108902,Northside ISD,2018,1265000000
108902,Northside ISD,2019,1302000000
108902,Northside ISD,2020,1328000000
108902,Northside ISD,2021,1381000000
108902,Northside ISD,2022,1429000000
101912,Houston ISD,2018,2050000000
101912,Houston ISD,2019,2145000000
101912,Houston ISD,2020,2190000000
101912,Houston ISD,2021,2240000000
101912,Houston ISD,2022,2310000000
220901,Riverbend ISD,2018,89000000
220901,Riverbend ISD,2019,94000000
220901,Riverbend ISD,2020,97000000
220901,Riverbend ISD,2021,101000000
220901,Riverbend ISD,2022,106000000
