NAME,DISTRICT_N,Debt,Per-Pupil Debt
Dallas ISD,57905,"$5,897,722,031.00","$48,868.00"
Lamar CISD,79901,"$5,834,636,522.00","$120,913.00"
Cypress-Fairbanks ISD,101907,"$4,764,461,549.00","$44,565.00"
Northside ISD (Bexar),15915,"$4,052,868,887.00","$48,066.00"
Katy ISD,101914,"$3,749,194,192.00","$39,523.00"
Northwest ISD,61911,"$3,727,882,154.00","$118,832.00"
Austin ISD,227901,"$3,687,889,911.00","$59,534.00"
Denton ISD,61901,"$3,526,114,238.00","$119,485.00"
Frisco ISD,43905,"$3,292,640,828.00","$54,872.00"
Prosper ISD,43912,"$3,272,349,782.00","$83,412.00"
Conroe ISD,170902,"$3,046,297,065.00","$44,278.00"
Fort Bend ISD,79907,"$2,709,811,538.00","$36,196.00"
Leander ISD,246913,"$2,661,959,899.00","$69,398.00"
Houston ISD,101912,"$2,573,202,694.00","$17,254.00"
Fort Worth ISD,220905,"$2,468,824,288.00","$42,478.00"
Crowley ISD,220912,"$2,179,184,761.00","$139,085.00"
San Antonio ISD,15907,"$2,145,921,769.00","$58,201.00"
Forney ISD,129902,"$2,060,309,621.00","$114,627.00"
Lewisville ISD,61902,"$2,022,913,789.00","$46,707.00"
Klein ISD,101915,"$1,997,027,424.00","$42,888.00"
Aldine ISD,101902,"$1,984,293,497.00","$43,505.00"
Humble ISD,101913,"$1,792,882,615.00","$41,754.00"
Garland ISD,57909,"$1,757,999,898.00","$40,203.00"
Midland ISD,165901,"$1,711,583,311.00","$61,561.00"
Arlington ISD,220901,"$1,695,774,358.00","$37,464.00"
Rockwall ISD,199901,"$1,651,312,959.00","$92,237.00"
Spring Branch ISD,101920,"$1,617,634,026.00","$54,648.00"
New Caney ISD,170908,"$1,611,334,927.00","$84,226.00"
Ysleta ISD,71905,"$1,583,163,056.00","$55,706.00"
North East ISD,15910,"$1,580,207,745.00","$33,586.00"
Richardson ISD,57916,"$1,554,598,921.00","$47,790.00"
Comal ISD,46902,"$1,501,153,756.00","$52,239.00"
Liberty Hill ISD,246908,"$1,486,309,359.00","$127,756.00"
Clear Creek ISD,84910,"$1,475,001,079.00","$41,478.00"
Mansfield ISD,220908,"$1,463,517,897.00","$44,955.00"
Corpus Christi ISD,178904,"$1,460,064,683.00","$53,610.00"
Georgetown ISD,246904,"$1,431,282,178.00","$106,518.00"
Judson ISD,15916,"$1,406,757,753.00","$76,255.00"
Hays CISD,105906,"$1,372,668,809.00","$57,257.00"
Pasadena ISD,101917,"$1,369,447,833.00","$35,062.00"
El Paso ISD,71902,"$1,359,117,292.00","$34,630.00"
Hurst-Euless-Bedford ISD,220916,"$1,354,648,450.00","$62,363.00"
Alvin ISD,20901,"$1,340,018,031.00","$45,480.00"
Tomball ISD,101921,"$1,288,234,934.00","$55,901.00"
Plano ISD,43910,"$1,248,067,189.00","$30,932.00"
Spring ISD,101919,"$1,220,529,174.00","$42,246.00"
Hutto ISD,246906,"$1,196,382,928.00","$111,968.00"
Wylie ISD (Collin),43914,"$1,182,735,495.00","$62,390.00"
Royse City ISD,199902,"$1,171,067,175.00","$105,123.00"
Waller ISD,237904,"$1,164,517,380.00","$118,647.00"
Pflugerville ISD,227904,"$1,123,590,761.00","$50,950.00"
Socorro ISD,71909,"$1,114,201,052.00","$27,326.00"
Keller ISD,220907,"$1,073,853,729.00","$37,270.00"
Little Elm ISD,61914,"$1,073,645,171.00","$149,574.00"
Carrollton-Farmers Branch ISD,57903,"$1,039,678,832.00","$49,044.00"
Waxahachie ISD,70912,"$1,028,566,675.00","$96,834.00"
Princeton ISD,43911,"$1,003,682,056.00","$95,671.00"
Mesquite ISD,57914,"$980,243,010.00","$28,825.00"
Medina Valley ISD,163908,"$970,063,989.00","$91,680.00"
Birdville ISD,220902,"$932,478,369.00","$48,635.00"
Del Valle ISD,227910,"$918,946,900.00","$90,465.00"
Lake Travis ISD,227913,"$887,072,288.00","$88,222.00"
Allen ISD,43901,"$874,164,376.00","$47,385.00"
Goose Creek CISD,101911,"$871,479,206.00","$41,535.00"
Round Rock ISD,246909,"$867,463,718.00","$32,732.00"
Lubbock-Cooper ISD,152906,"$846,069,410.00","$112,569.00"
Montgomery ISD,170903,"$826,614,745.00","$92,983.00"
Irving ISD,57912,"$818,126,858.00","$27,575.00"
Bastrop ISD,11901,"$813,244,713.00","$62,901.00"
New Braunfels ISD,46901,"$796,726,345.00","$89,229.00"
Manor ISD,227907,"$740,177,878.00","$78,004.00"
Boerne ISD,130901,"$727,682,649.00","$68,546.00"
Waco ISD,161914,"$720,525,809.00","$64,621.00"
Sherman ISD,91906,"$710,033,635.00","$99,472.00"
Frenship ISD,152907,"$678,329,278.00","$58,391.00"
Argyle ISD,61910,"$675,194,063.00","$102,395.00"
Dickinson ISD,84901,"$673,519,059.00","$56,310.00"
Celina ISD,43903,"$660,095,626.00","$99,248.00"
Southwest ISD,15912,"$655,333,763.00","$46,271.00"
Community ISD,43918,"$650,206,157.00","$105,075.00"
Sheldon ISD,101924,"$644,407,500.00","$62,998.00"
United ISD,240903,"$635,506,047.00","$17,096.00"
Melissa ISD,43908,"$632,308,097.00","$64,383.00"
Coppell ISD,57922,"$618,768,166.00","$49,609.00"
Aledo ISD,184907,"$608,932,579.00","$73,163.00"
Aubrey ISD,61907,"$607,270,587.00","$115,101.00"
McKinney ISD,43907,"$607,265,463.00","$28,962.00"
Cedar Hill ISD,57904,"$604,705,809.00","$133,519.00"
Ector County ISD,68901,"$596,523,918.00","$20,669.00"
Belton ISD,14903,"$585,286,404.00","$45,410.00"
Elgin ISD,11902,"$580,446,597.00","$101,423.00"
Tyler ISD,212905,"$579,122,030.00","$35,748.00"
Willis ISD,170904,"$573,115,816.00","$66,922.00"
Anna ISD,43902,"$567,413,494.00","$89,455.00"
Barbers Hill ISD,36902,"$562,092,566.00","$71,723.00"
College Station ISD,21901,"$557,061,275.00","$42,861.00"
Pecos-Barstow-Toyah ISD,195901,"$556,263,200.00","$205,947.00"
Duncanville ISD,57907,"$554,888,802.00","$54,782.00"
Cleveland ISD,146901,"$552,185,313.00","$45,855.00"
Killeen ISD,14906,"$550,874,838.00","$14,579.00"
Deer Park ISD,101908,"$549,627,516.00","$50,355.00"
Greenwood ISD,165902,"$540,390,062.00","$165,917.00"
Schertz-Cibolo-Universal City ISD,94902,"$537,163,544.00","$42,663.00"
Midlothian ISD,70908,"$527,707,894.00","$49,499.00"
Pearland ISD,20908,"$526,941,944.00","$27,481.00"
Dripping Springs ISD,105904,"$517,972,723.00","$63,821.00"
La Porte ISD,101916,"$516,423,480.00","$78,988.00"
White Settlement ISD,220920,"$512,433,774.00","$88,964.00"
Galveston ISD,84902,"$512,284,137.00","$93,041.00"
Alief ISD,101903,"$497,537,161.00","$15,025.00"
Jarrell ISD,246907,"$488,697,209.00","$105,573.00"
San Marcos CISD,105902,"$481,555,037.00","$65,536.00"
Galena Park ISD,101910,"$479,300,607.00","$25,375.00"
Longview ISD,92903,"$476,637,058.00","$74,208.00"
Texas City ISD,84906,"$468,274,992.00","$68,733.00"
Temple ISD,14909,"$464,451,916.00","$57,532.00"
Azle ISD,220915,"$456,583,750.00","$67,893.00"
Grand Prairie ISD,57910,"$444,380,232.00","$20,002.00"
Port Arthur ISD,123907,"$443,499,497.00","$64,192.00"
Magnolia ISD,170906,"$443,399,077.00","$30,721.00"
Lubbock ISD,152901,"$437,405,129.00","$23,120.00"
East Central ISD,15911,"$429,879,492.00","$39,778.00"
Gregory-Portland ISD,205902,"$425,540,294.00","$95,670.00"
Wichita Falls ISD,243905,"$419,724,789.00","$41,561.00"
Angleton ISD,20902,"$414,169,070.00","$61,186.00"
Highland Park ISD (Dallas),57911,"$409,501,319.00","$74,727.00"
Crandall ISD,129901,"$408,729,219.00","$57,869.00"
Godley ISD,126911,"$398,390,938.00","$126,634.00"
Brazosport ISD,20905,"$395,407,400.00","$43,337.00"
Wylie ISD (Taylor),221912,"$393,306,835.00","$74,097.00"
Burleson ISD,126902,"$377,580,731.00","$33,634.00"
Grapevine-Colleyville ISD,220906,"$363,451,213.00","$30,144.00"
Seguin ISD,94901,"$361,309,076.00","$55,424.00"
Weslaco ISD,108913,"$360,673,082.00","$24,840.00"
Carroll ISD,220919,"$353,654,696.00","$50,754.00"
Bryan ISD,21902,"$352,678,828.00","$24,879.00"
Channelview ISD,101905,"$343,819,365.00","$41,986.00"
Splendora ISD,170907,"$343,355,339.00","$61,732.00"
Harlandale ISD,15904,"$334,877,632.00","$35,599.00"
Navarro ISD,94903,"$328,546,279.00","$107,053.00"
Caddo Mills ISD,116901,"$327,892,857.00","$98,289.00"
Denison ISD,91903,"$314,915,816.00","$67,304.00"
Alvarado ISD,126901,"$311,089,653.00","$91,122.00"
Laredo ISD,240901,"$309,019,231.00","$18,034.00"
Crosby ISD,101906,"$308,279,152.00","$46,937.00"
Alamo Heights ISD,15901,"$303,108,369.00","$73,073.00"
Canutillo ISD,71907,"$297,037,913.00","$61,652.00"
Amarillo ISD,188901,"$295,156,616.00","$11,843.00"
Beaumont ISD,123910,"$292,643,146.00","$20,990.00"
Texarkana ISD,19907,"$291,717,275.00","$42,125.00"
Kaufman ISD,129903,"$286,803,545.00","$71,881.00"
Canyon ISD,191901,"$285,249,923.00","$25,756.00"
Van Alstyne ISD,91908,"$284,545,955.00","$108,605.00"
Pharr-San Juan-Alamo ISD,108909,"$282,965,921.00","$11,213.00"
Lake Dallas ISD,61912,"$277,738,894.00","$86,631.00"
Salado ISD,14908,"$276,674,245.00","$125,761.00"
Donna ISD,108902,"$271,007,006.00","$25,008.00"
Abilene ISD,221901,"$270,410,610.00","$23,804.00"
Bullard ISD,212902,"$263,299,468.00","$96,306.00"
Sanger ISD,61908,"$259,616,938.00","$98,639.00"
Lancaster ISD,57913,"$256,895,916.00","$45,525.00"
Friendswood ISD,84911,"$247,232,075.00","$42,472.00"
Cleburne ISD,126903,"$246,985,425.00","$43,862.00"
Red Oak ISD,70911,"$235,075,325.00","$37,793.00"
Krum ISD,61905,"$233,662,190.00","$84,538.00"
Port Neches-Groves ISD,123908,"$229,225,110.00","$44,141.00"
Ennis ISD,70903,"$227,867,000.00","$35,632.00"
Royal ISD,237905,"$227,853,948.00","$86,505.00"
Needville ISD,79906,"$225,414,419.00","$65,872.00"
La Joya ISD,108912,"$225,214,684.00","$12,383.00"
Midway ISD (McLennan),161903,"$211,151,453.00","$25,379.00"
Calallen ISD,178903,"$209,698,886.00","$66,592.00"
Taylor ISD,246911,"$206,317,248.00","$88,434.00"
Eanes ISD,227909,"$202,390,117.00","$28,466.00"
Brock ISD,184909,"$198,704,706.00","$88,787.00"
Sinton ISD,205906,"$196,630,272.00","$112,553.00"
Kilgore ISD,92902,"$195,657,783.00","$62,993.00"
Clint ISD,71901,"$191,815,189.00","$21,772.00"
Nederland ISD,123905,"$190,658,754.00","$35,737.00"
Carrizo Springs CISD,64903,"$189,663,288.00","$120,651.00"
Lockhart ISD,28902,"$186,515,612.00","$29,262.00"
DeSoto ISD,57906,"$181,820,738.00","$40,531.00"
Chapel Hill ISD (Smith),212909,"$181,695,522.00","$65,903.00"
Columbia-Brazoria ISD,20907,"$180,576,040.00","$68,791.00"
South San Antonio ISD,15908,"$179,572,217.00","$31,760.00"
Marion ISD,94904,"$178,810,574.00","$111,687.00"
Weatherford ISD,184903,"$178,505,350.00","$25,388.00"
Lovejoy ISD,43919,"$178,218,263.00","$54,418.00"
Bay City ISD,158901,"$177,568,853.00","$61,231.00"
Huffman ISD,101925,"$174,248,055.00","$55,055.00"
Highland Park ISD (Potter),188903,"$173,221,994.00","$268,561.00"
Palacios ISD,158905,"$170,774,178.00","$160,351.00"
Huntsville ISD,236902,"$170,566,050.00","$17,412.00"
Monahans-Wickett-Pyote ISD,238902,"$165,812,425.00","$82,004.00"
Marshall ISD,102902,"$157,151,352.00","$38,181.00"
Gunter ISD,91917,"$155,232,801.00","$151,152.00"
Stephenville ISD,72903,"$155,053,635.00","$47,374.00"
Sulphur Springs ISD,112901,"$153,453,471.00","$40,393.00"
Bridge City ISD,181901,"$147,225,274.00","$49,907.00"
Bonham ISD,74903,"$147,155,488.00","$80,106.00"
Edinburg CISD,108904,"$147,125,175.00","$5,246.00"
Everman ISD,220904,"$146,779,652.00","$36,750.00"
Bushland ISD,188904,"$146,626,375.00","$125,429.00"
Wimberley ISD,105905,"$145,268,458.00","$60,554.00"
Whitehouse ISD,212906,"$143,283,200.00","$36,119.00"
SANDS CISD,58909,"$143,160,075.00","$591,571.00"
London ISD,178906,"$142,678,396.00","$70,181.00"
Stafford MSD,79910,"$142,543,810.00","$55,421.00"
Nacogdoches ISD,174904,"$137,516,713.00","$28,111.00"
Fredericksburg ISD,86901,"$136,997,750.00","$53,431.00"
Academy ISD,14901,"$136,218,560.00","$82,757.00"
Dumas ISD,171901,"$135,862,559.00","$33,251.00"
Kermit ISD,248901,"$129,228,130.00","$116,004.00"
Victoria ISD,235902,"$128,852,075.00","$12,150.00"
Tuloso-Midway ISD,178912,"$128,650,813.00","$39,355.00"
Shallowater ISD,152909,"$128,324,613.00","$89,300.00"
Pine Tree ISD,92904,"$128,321,701.00","$34,936.00"
Goliad ISD,88902,"$127,670,675.00","$118,543.00"
Pleasant Grove ISD,19912,"$127,515,189.00","$62,784.00"
Kerrville ISD,133903,"$127,338,663.00","$33,309.00"
Harlingen CISD,31903,"$127,216,530.00","$9,045.00"
Aransas County ISD,4901,"$126,575,571.00","$52,282.00"
Commerce ISD,116903,"$125,311,231.00","$82,333.00"
Lufkin ISD,3903,"$123,508,589.00","$21,771.00"
Mount Vernon ISD,80901,"$121,811,194.00","$90,364.00"
Sunnyvale ISD,57919,"$119,673,011.00","$47,869.00"
Paradise ISD,249906,"$118,836,870.00","$97,969.00"
Joshua ISD,126905,"$117,907,129.00","$20,649.00"
Mission CISD,108908,"$114,480,691.00","$8,393.00"
Sweeny ISD,20906,"$113,443,117.00","$62,400.00"
China Spring ISD,161920,"$112,748,970.00","$38,547.00"
Los Fresnos CISD,31906,"$112,355,090.00","$12,313.00"
Lago Vista ISD,227912,"$112,250,400.00","$61,812.00"
Lake Worth ISD,220910,"$110,385,730.00","$43,769.00"
Southside ISD,15917,"$110,211,852.00","$18,728.00"
San Benito CISD,31912,"$109,326,757.00","$15,061.00"
Bellville ISD,8901,"$108,037,492.00","$50,250.00"
Johnson City ISD,16901,"$107,840,614.00","$180,638.00"
Gonzales ISD,89901,"$107,792,446.00","$50,441.00"
Pottsboro ISD,91913,"$106,835,022.00","$87,284.00"
Mount Pleasant ISD,225902,"$105,134,736.00","$23,168.00"
Balmorhea ISD,195902,"$105,084,285.00","$633,038.00"
Santa Fe ISD,84909,"$104,136,535.00","$26,661.00"
Sabine Pass ISD,123913,"$103,789,938.00","$333,730.00"
Canton ISD,234902,"$103,311,834.00","$46,747.00"
Malakoff ISD,107906,"$102,078,953.00","$79,315.00"
Ponder ISD,61906,"$101,743,863.00","$60,346.00"
Alice ISD,125901,"$101,698,824.00","$26,553.00"
Corsicana ISD,175903,"$101,316,942.00","$18,773.00"
Plainview ISD,95905,"$101,177,500.00","$32,882.00"
Granbury ISD,111901,"$98,972,410.00","$13,944.00"
Anahuac ISD,36901,"$98,722,992.00","$65,207.00"
Brownwood ISD,25902,"$98,319,613.00","$36,081.00"
Sharyland ISD,108911,"$98,140,068.00","$11,157.00"
Hitchcock ISD,84908,"$96,649,148.00","$55,673.00"
West Orange-Cove CISD,181906,"$95,745,931.00","$48,454.00"
Reagan County ISD,192901,"$95,557,450.00","$127,410.00"
Rankin ISD,231902,"$94,831,226.00","$361,951.00"
Trenton ISD,74912,"$94,733,076.00","$141,816.00"
Borger ISD,117901,"$94,182,257.00","$50,964.00"
Thrall ISD,246912,"$94,095,042.00","$100,208.00"
Kennedale ISD,220914,"$93,862,866.00","$38,996.00"
Buena Vista ISD,186901,"$92,939,125.00","$411,235.00"
Dayton ISD,146902,"$92,936,388.00","$18,287.00"
Poteet ISD,7906,"$92,553,883.00","$61,703.00"
Jacksboro ISD,119902,"$91,919,694.00","$89,503.00"
Farmersville ISD,43904,"$91,167,475.00","$37,829.00"
Cotulla ISD,142901,"$90,649,375.00","$90,198.00"
Marble Falls ISD,27904,"$90,008,894.00","$25,462.00"
Hallsville ISD,102904,"$89,933,930.00","$3,242.00"
Greenville ISD,116905,"$89,502,090.00","$19,157.00"
Lumberton ISD,100907,"$89,287,681.00","$23,509.00"
Lindale ISD,212903,"$88,595,653.00","$19,727.00"
Woodville ISD,229903,"$88,239,795.00","$90,410.00"
Terrell ISD,129906,"$87,927,793.00","$18,133.00"
Fort Stockton ISD,186902,"$87,322,180.00","$8,867.00"
Navasota ISD,93904,"$87,118,680.00","$29,979.00"
Wharton ISD,241904,"$86,964,243.00","$59,524.00"
Florence ISD,246902,"$86,768,055.00","$83,032.00"
Van Vleck ISD,158906,"$86,718,327.00","$105,625.00"
Beeville ISD,13901,"$86,541,327.00","$33,247.00"
McCamey ISD,231901,"$86,187,775.00","$207,182.00"
Jacksonville ISD,37904,"$86,113,935.00","$20,064.00"
McAllen ISD,108906,"$84,211,555.00","$4,952.00"
San Angelo ISD,226903,"$83,272,301.00","$7,796.00"
Jim Ned CISD,221911,"$83,208,482.00","$56,875.00"
Yoakum ISD,62903,"$83,183,825.00","$64,235.00"
Andrews ISD,2901,"$82,742,791.00","$20,471.00"
Denver City ISD,251901,"$81,938,444.00","$67,218.00"
Brownsville ISD,31901,"$78,943,385.00","$2,777.00"
Banquete ISD,178913,"$78,927,677.00","$123,517.00"
Chisum ISD,139905,"$75,591,600.00","$69,927.00"
Little Cypress-Mauriceville CISD,181908,"$75,410,252.00","$27,592.00"
Eagle Pass ISD,159901,"$75,365,071.00","$6,149.00"
CROCKETT COUNTY CONSOLIDATED CSD,53001,"$74,505,524.00","$157,851.00"
Sweetwater ISD,177902,"$74,276,525.00","$57,803.00"
Holliday ISD,5902,"$74,089,781.00","$69,699.00"
Hamshire-Fannett ISD,123914,"$73,179,481.00","$39,989.00"
North Lamar ISD,139911,"$73,049,306.00","$36,506.00"
Granger ISD,246905,"$72,720,325.00","$124,521.00"
Littlefield ISD,140904,"$72,173,119.00","$68,671.00"
La Vernia ISD,247903,"$71,793,188.00","$23,040.00"
Roma ISD,214903,"$71,645,944.00","$13,898.00"
Wink-Loving ISD,248902,"$71,083,209.00","$172,114.00"
Ingleside ISD,205903,"$70,988,163.00","$40,357.00"
Lone Oak ISD,116906,"$70,770,604.00","$57,961.00"
Maypearl ISD,70915,"$70,554,510.00","$64,610.00"
Rockdale ISD,166904,"$69,303,063.00","$49,822.00"
Bells ISD,91901,"$68,908,585.00","$68,091.00"
New Deal ISD,152902,"$68,507,316.00","$97,036.00"
Athens ISD,107901,"$68,286,322.00","$28,217.00"
Orangefield ISD,181905,"$67,860,241.00","$42,572.00"
Leonard ISD,74909,"$67,706,075.00","$88,737.00"
Burnet CISD,27903,"$67,284,679.00","$22,609.00"
Center ISD,210901,"$67,132,772.00","$35,111.00"
Burton ISD,239903,"$66,728,291.00","$104,100.00"
Odem-Edroy ISD,205905,"$66,073,063.00","$75,772.00"
Kingsville ISD,137901,"$66,017,322.00","$32,314.00"
Decatur ISD,249905,"$65,977,241.00","$19,052.00"
Llano ISD,150901,"$65,602,130.00","$40,173.00"
Blanco ISD,16902,"$65,510,122.00","$61,744.00"
Palestine ISD,1907,"$65,299,237.00","$23,642.00"
Pilot Point ISD,61903,"$64,888,375.00","$42,662.00"
Eustace ISD,107905,"$64,665,113.00","$43,399.00"
Woodsboro ISD,196902,"$64,550,088.00","$198,006.00"
Perryton ISD,179901,"$62,498,742.00","$43,162.00"
San Felipe-Del Rio CISD,233901,"$61,443,688.00","$7,648.00"
Sealy ISD,8902,"$61,407,475.00","$20,394.00"
Peaster ISD,184908,"$61,375,306.00","$42,563.00"
Somerset ISD,15909,"$60,997,666.00","$16,193.00"
Hardin-Jefferson ISD,100905,"$60,803,986.00","$22,833.00"
Flour Bluff ISD,178914,"$60,596,947.00","$12,023.00"
Crane ISD,52901,"$60,027,260.00","$52,563.00"
Robstown ISD,178909,"$59,703,281.00","$26,966.00"
Livingston ISD,187907,"$59,572,940.00","$16,425.00"
Paris ISD,139909,"$59,439,501.00","$16,992.00"
Point Isabel ISD,31909,"$59,417,900.00","$42,230.00"
Dalhart ISD,56901,"$59,085,838.00","$34,695.00"
Centerville ISD (Leon),145902,"$57,772,310.00","$111,745.00"
Vernon ISD,244903,"$57,359,963.00","$37,368.00"
Edgewood ISD (Van Zandt),234903,"$57,159,448.00","$57,679.00"
Floresville ISD,247901,"$56,499,919.00","$15,111.00"
Comfort ISD,130902,"$56,112,588.00","$60,078.00"
Comanche ISD,47901,"$55,776,591.00","$45,644.00"
Normangee ISD,145906,"$55,748,840.00","$97,463.00"
Springtown ISD,184902,"$55,353,238.00","$14,628.00"
Pleasanton ISD,7905,"$54,816,075.00","$19,825.00"
Gilmer ISD,230902,"$54,362,888.00","$19,015.00"
Brownfield ISD,223901,"$53,742,350.00","$34,517.00"
Mineral Wells ISD,182903,"$52,797,996.00","$18,088.00"
Ingram ISD,133904,"$52,510,214.00","$35,697.00"
Port Aransas ISD,178908,"$52,000,063.00","$122,642.00"
Brownsboro ISD,107902,"$51,913,361.00","$22,829.00"
Cuero ISD,62901,"$51,681,000.00","$33,086.00"
Edgewood ISD (Bexar),15905,"$51,615,514.00","$9,207.00"
Big Spring ISD,114901,"$51,492,155.00","$18,195.00"
Westwood ISD,1908,"$51,380,375.00","$44,485.00"
Jourdanton ISD,7902,"$51,312,349.00","$36,034.00"
Smithville ISD,11904,"$50,740,050.00","$33,714.00"
Quinlan ISD,116908,"$50,601,000.00","$17,317.00"
Winona ISD,212910,"$50,182,534.00","$43,112.00"
Mineola ISD,250903,"$49,913,661.00","$30,343.00"
Tioga ISD,91907,"$49,224,726.00","$84,145.00"
Blue Ridge ISD,43917,"$48,696,188.00","$49,945.00"
Marlin ISD,73903,"$47,953,988.00","$64,454.00"
Coupland ISD,246914,"$47,570,600.00","$158,042.00"
San Augustine ISD,203901,"$47,487,185.00","$111,735.00"
Castleberry ISD,220917,"$47,165,602.00","$14,598.00"
Slidell ISD,249908,"$47,022,173.00","$74,285.00"
Crystal City ISD,254901,"$46,369,074.00","$37,006.00"
Liberty ISD,146906,"$45,475,222.00","$19,261.00"
Hillsboro ISD,109904,"$45,316,464.00","$26,547.00"
Caldwell ISD,26901,"$45,308,600.00","$25,905.00"
Levelland ISD,110902,"$45,177,025.00","$21,575.00"
Newton ISD,176902,"$44,858,750.00","$57,218.00"
Mercedes ISD,108907,"$44,475,729.00","$13,324.00"
Van ISD,234906,"$44,301,781.00","$22,063.00"
Mabank ISD,129905,"$44,298,050.00","$10,946.00"
Glen Rose ISD,213901,"$43,828,250.00","$20,095.00"
Mart ISD,161908,"$43,778,658.00","$79,309.00"
La Grange ISD,75902,"$43,645,158.00","$22,935.00"
Burkburnett ISD,243901,"$43,507,685.00","$14,659.00"
Tidehaven ISD,158902,"$43,400,309.00","$46,567.00"
Evadale ISD,121906,"$43,060,411.00","$115,135.00"
Nixon-Smiley CISD,89903,"$43,001,582.00","$53,819.00"
Winnsboro ISD,250907,"$42,956,128.00","$34,924.00"
Bartlett ISD,14902,"$42,533,364.00","$125,838.00"
Mildred ISD,175910,"$42,346,967.00","$53,468.00"
Haskell CISD,104901,"$42,021,579.00","$92,559.00"
Whitney ISD,109911,"$41,797,413.00","$35,302.00"
Eula ISD,30906,"$41,616,793.00","$95,671.00"
Luling ISD,28903,"$41,518,777.00","$31,477.00"
New Waverly ISD,236901,"$40,427,400.00","$40,427.00"
Post ISD,85902,"$39,793,150.00","$81,711.00"
Brenham ISD,239901,"$39,689,432.00","$9,477.00"
Carthage ISD,183902,"$39,480,952.00","$17,657.00"
Hallettsville ISD,143901,"$39,467,712.00","$38,244.00"
Bosqueville ISD,161923,"$39,418,018.00","$58,053.00"
Spring Hill ISD,92907,"$39,309,996.00","$24,723.00"
San Diego ISD,66902,"$39,061,766.00","$30,327.00"
Collinsville ISD,91902,"$39,048,693.00","$60,918.00"
Cameron ISD,166901,"$38,998,210.00","$31,783.00"
Dimmitt ISD,35901,"$38,992,758.00","$42,849.00"
FLOYDADA COLLEGIATE ISD,77901,"$38,901,725.00","$61,651.00"
La Vega ISD,161906,"$38,794,391.00","$14,299.00"
Pettus ISD,13903,"$38,397,493.00","$132,405.00"
Venus ISD,126908,"$38,328,700.00","$18,579.00"
Schulenburg ISD,75903,"$38,291,500.00","$68,013.00"
Troy ISD,14910,"$38,116,375.00","$23,587.00"
Hondo ISD,163904,"$37,871,527.00","$24,386.00"
Prairiland ISD,139912,"$37,589,578.00","$34,741.00"
Valley View ISD (Hidalgo),108916,"$37,463,694.00","$14,437.00"
Henderson ISD,201902,"$37,093,219.00","$13,836.00"
Karnes City ISD,128901,"$37,060,697.00","$37,817.00"
Pampa ISD,90904,"$36,873,891.00","$14,791.00"
Taft ISD,205907,"$36,672,266.00","$50,305.00"
S and S CISD,91914,"$36,492,418.00","$41,897.00"
Bishop CISD,178902,"$36,154,535.00","$31,770.00"
Rio Hondo ISD,31911,"$35,992,715.00","$34,052.00"
West Oso ISD,178915,"$35,752,363.00","$24,011.00"
Dawson ISD (Navarro),175904,"$35,705,471.00","$315,978.00"
Seminole ISD,83903,"$35,457,541.00","$13,305.00"
Christoval ISD,226901,"$35,319,598.00","$56,602.00"
Gladewater ISD,92901,"$35,301,443.00","$25,452.00"
George West ISD,149901,"$34,992,400.00","$39,450.00"
