NAME,DISTRICT_N,DISTRICT_GRADE,DISTRICT_SCORE
Sabine Pass ISD,123913,B,86
Boys Ranch ISD,180901,Not Rated,0
Grady ISD,156905,A,96
Wheeler ISD,242903,B,85
Grandview-Hopkins ISD,90905,C,79
Wolfe City ISD,116909,B,81
Sam Rayburn ISD,74917,A,90
Pearland ISD,20908,A,91
Dayton ISD,146902,C,73
Sheldon ISD,101924,C,77
Highland ISD,177905,A,97
Beckville ISD,183901,B,88
Tatum ISD,201910,B,85
Aldine ISD,101902,C,73
Channelview ISD,101905,B,80
Humble ISD,101913,C,77
Pasadena ISD,101917,B,84
Amherst ISD,140901,C,76
Levelland ISD,110902,C,74
Loraine ISD,168902,D,67
Centerville ISD (Trinity),228904,B,83
Spearman ISD,98904,B,86
Texhoma ISD,211901,B,89
Priddy ISD,167904,D,66
Canyon ISD,191901,B,88
Chapel Hill ISD (Titus),225906,B,83
Sweeny ISD,20906,C,76
Cotton Center ISD,95902,A,91
Hale Center ISD,95903,B,83
Borden County ISD,17901,A,96
San Perlita ISD,245904,C,70
Marathon ISD,22902,C,79
Saltillo ISD,112909,B,88
Winnsboro ISD,250907,B,80
Bryson ISD,119901,B,88
Bronte ISD,41901,A,90
Friendswood ISD,84911,A,92
Brookesmith ISD,25908,F,58
Olton ISD,140905,C,72
Comfort ISD,130902,C,78
Ingram ISD,133904,A,91
Wellington ISD,44902,B,86
Eden Cons ISD,48901,D,69
Paint Rock ISD,48903,B,81
Kaufman ISD,129903,B,84
Mabank ISD,129905,B,85
Divide ISD,133905,B,83
Hunt ISD,133902,A,94
Silverton ISD,23902,A,95
Dawson ISD (Dawson),58902,B,82
New Home ISD,153905,A,92
Wilson ISD,153907,D,69
O'Donnell ISD,153903,A,90
Lasara ISD,245901,D,66
Calhoun County ISD,29901,B,81
Ore City ISD,230903,C,78
Ropes ISD,110905,B,86
Seagraves ISD,83901,C,79
Tahoka ISD,153904,B,80
Sterling City ISD,216901,A,92
Italy ISD,70907,B,80
Milford ISD,70909,C,77
Lubbock ISD,152901,B,80
Abernathy ISD,95901,B,85
Smyer ISD,110906,A,92
Sundown ISD,110907,A,90
Whitharral ISD,110908,A,96
New Deal ISD,152902,C,76
Commerce ISD,116903,D,68
Northside ISD (Wilbarger),244905,B,86
London ISD,178906,B,89
San Diego ISD,66902,B,87
Spring Branch ISD,101920,B,80
Spring ISD,101919,D,65
Huffman ISD,101925,C,71
Galena Park ISD,101910,B,87
Dell City ISD,115903,B,84
Gorman ISD,67904,C,72
Eastland ISD,67903,B,81
Lingleville ISD,72909,B,88
