State,Region,County,District,District Name,Charter Status,Superintendent,Base Pay,FTE Salary,Enrollment,FTE
TX,3,VICTORIA COUNTY,235902,VICTORIA ISD,TRADITIONAL ISD/CSD,"MEYER, RANDALL S","$565,047.00","$565,047.00",12919,1
TX,18,ECTOR COUNTY,68901,ECTOR COUNTY ISD,TRADITIONAL ISD/CSD,"MURI, SCOTT R","$328,802.00","$553,912.00",33663,0.59
TX,3,DEWITT COUNTY,62905,WESTHOFF ISD,TRADITIONAL ISD/CSD,"STANSBERRY, JAMES EDGAR","$84,000.00","$498,516.00",85,0.17
TX,4,CHAMBERS COUNTY,36902,BARBERS HILL ISD,TRADITIONAL ISD/CSD,"POOLE, GREGORY S","$489,143.00","$489,143.00",7875,1
TX,4,HARRIS COUNTY,101921,TOMBALL ISD,TRADITIONAL ISD/CSD,"SALAZAR ZAMORA, MARTHA","$469,638.00","$469,638.00",22913,1
TX,13,TRAVIS COUNTY,227913,LAKE TRAVIS ISD,TRADITIONAL ISD/CSD,"NORTON, PAUL ANDREW","$468,296.00","$468,296.00",11008,1
TX,4,HARRIS COUNTY,101907,CYPRESS-FAIRBANKS ISD,TRADITIONAL ISD/CSD,"KILLIAN, DOUGLAS WAYNE","$458,908.00","$458,908.00",117927,1
TX,10,DALLAS COUNTY,57909,GARLAND ISD,TRADITIONAL ISD/CSD,"LOPEZ, RICARDO D","$457,447.00","$457,447.00",51021,1
TX,19,EL PASO COUNTY,71905,YSLETA ISD,TRADITIONAL ISD/CSD,"DE LA TORRE, GUADALUPE JAVIER","$451,457.00","$451,457.00",34062,1
TX,5,HARDIN COUNTY,100907,LUMBERTON ISD,TRADITIONAL ISD/CSD,"TIPTON, MORRISON ANTHONY","$171,400.00","$439,037.00",4108,0.39
TX,11,TARRANT COUNTY,220912,CROWLEY ISD,TRADITIONAL ISD/CSD,"MCFARLAND, MICHAEL","$428,581.00","$428,581.00",17011,1
TX,9,FOARD COUNTY,78901,CROWELL ISD,TRADITIONAL ISD/CSD,"MILAM, WILLIAM D","$97,170.00","$412,962.00",189,0.24
TX,4,HARRIS COUNTY,101915,KLEIN ISD,TRADITIONAL ISD/CSD,"MCGOWN, JENNY A","$412,519.00","$412,519.00",52437,1
TX,4,FORT BEND COUNTY,79907,FORT BEND ISD,TRADITIONAL ISD/CSD,"SMITH, MARCELL","$410,000.00","$410,000.00",79663,1
TX,10,HENDERSON COUNTY,107901,ATHENS ISD,TRADITIONAL ISD/CSD,"SIMS, SALLY JANIE","$230,000.00","$396,552.00",3029,0.58
TX,4,HARRIS COUNTY,101914,KATY ISD,TRADITIONAL ISD/CSD,"GREGORSKI, KENNETH","$396,030.00","$396,030.00",96111,1
TX,11,DENTON COUNTY,61911,NORTHWEST ISD,TRADITIONAL ISD/CSD,"FOUST, MARK JACOB","$390,229.00","$390,229.00",32098,1
TX,4,HARRIS COUNTY,101912,HOUSTON ISD,TRADITIONAL ISD/CSD,"MILES, FLOYD MIKE","$380,000.00","$380,000.00",176727,1
TX,2,NUECES COUNTY,178904,CORPUS CHRISTI ISD,TRADITIONAL ISD/CSD,"HERNANDEZ, JUSTO ROLANDO","$375,039.00","$375,039.00",33103,1
TX,1,CAMERON COUNTY,31901,BROWNSVILLE ISD,TRADITIONAL ISD/CSD,"CHAVEZ, JESUS H","$375,000.00","$375,000.00",36140,1
TX,10,DALLAS COUNTY,57905,DALLAS ISD,TRADITIONAL ISD/CSD,"ELIZALDE, STEPHANIE SUZANNE","$375,000.00","$375,000.00",139802,1
TX,1,HIDALGO COUNTY,108904,EDINBURG CISD,TRADITIONAL ISD/CSD,"SALINAS, MARIO","$374,627.00","$374,627.00",33343,1
TX,4,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,"POWELL, ELLEN DEEANN","$367,812.00","$367,812.00",46491,1
TX,3,MATAGORDA COUNTY,158901,BAY CITY ISD,TRADITIONAL ISD/CSD,"MCHAZLETT, DWIGHT HENRY","$367,497.00","$367,497.00",3473,1
TX,6,MONTGOMERY COUNTY,170902,CONROE ISD,TRADITIONAL ISD/CSD,"NULL, CURTIS F","$365,881.00","$365,881.00",72914,1
TX,11,TARRANT COUNTY,220908,MANSFIELD ISD,TRADITIONAL ISD/CSD,"CANTU, KIMBERLEY MORGAN","$365,315.00","$365,315.00",35354,1
TX,4,FORT BEND COUNTY,79901,LAMAR CISD,TRADITIONAL ISD/CSD,"NIVENS, ROOSEVELT CURTIS","$364,971.00","$364,971.00",46786,1
TX,13,HAYS COUNTY,105906,HAYS CISD,TRADITIONAL ISD/CSD,"WRIGHT, ERIC K","$364,000.00","$364,000.00",24330,1
